품목,보관 조건,최소 보관 권장 기간 (일),비고
해물육교자,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
해보니까,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
햄,냉장,7,개봉 후. 개봉 전은 제품 소비기한 확인
호박전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
홍갓,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
홍고추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
홍차티백,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
홍합,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
환만식초,냉장/실온,90,양념/소스류. 개봉 후 냉장.
황설탕,냉장/실온,90,양념/소스류. 개봉 후 냉장.
황설탕을,냉장/실온,90,양념/소스류. 개봉 후 냉장.
황태채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
효모,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
후레쉬콘,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
후르츠칵테일,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
후추가루,실온,180,"가루류. 밀봉, 습기 주의."
후춧가루,실온,180,"가루류. 밀봉, 습기 주의."
훈연,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
훈연멸치가루,실온,180,"가루류. 밀봉, 습기 주의."
흰우유,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
